Workout Type,Start,End,Duration,Active Energy (kcal),Resting Energy (kcal),Intensity (kcal/hr·kg),Max. Heart Rate (bpm),Avg. Heart Rate (bpm),Distance (km),Max. Speed (km/hr),Avg. Speed (km/hr),Flights Climbed,Elevation Ascended (m),Elevation Descended (m),Step Count,Step Cadence (spm),Swim Stroke Count,Swim Stroke Cadence (spm),Lap Length (km),Stroke Style,SWOLF Score,Water Salinity,Temperature (ºC),Humidity (%),Location,
Boxing,2024-12-28 22:33,2024-12-28 23:11,00:37:38,252.14912684379027,44.44483377149851,8.291858712832134,110.0,103.91666666666667,2.532281547118211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.129999999997665,76.0,,
Outdoor Walk,2024-12-24 19:02,2024-12-24 19:58,00:55:26,98.46796054335654,65.87598929059257,2.9817879818003887,0.0,0.0,1.6551119613865453,0.0,0.0,0.0,15.97,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,20.629999999997665,65.0,Outdoor,
Outdoor Run,2024-12-22 20:14,2024-12-22 20:34,00:19:59,154.15210345601344,23.51681137624236,9.750335466410954,0.0,0.0,2.79416803786104,0.0,0.0,0.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.719999999997697,67.0,Outdoor,
Outdoor Walk,2024-12-22 10:44,2024-12-22 13:33,02:49:01,137.6640134377399,199.92353897831129,1.7206328973539131,117.0,90.15789473684211,0.4142134166662581,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,Outdoor,
Outdoor Walk,2024-12-21 21:00,2024-12-21 21:28,00:27:53,30.274761698908637,32.83776696861696,2.095680563389488,0.0,0.0,0.36303876006184144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.349999999997692,62.0,Outdoor,
Squash,2024-12-20 19:05,2024-12-20 19:16,00:10:40,74.82099999999969,12.89440545513608,8.873472345782638,0.0,0.0,0.3796754126637243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,24.839999999997588,47.0,,
Squash,2024-12-20 16:59,2024-12-20 19:00,02:00:58,681.7450000000039,142.22112372597024,7.0926875618795,0.0,0.0,3.7461668180744163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,32.479999999997574,25.0,,
Squash,2024-12-19 18:34,2024-12-19 21:33,02:58:31,1204.7839999999958,209.89166620689952,8.15825432455364,0.0,0.0,5.476383551337989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,27.98999999999762,36.0,,
Outdoor Walk,2024-12-18 20:53,2024-12-18 21:33,00:39:16,94.68092297120523,46.9730179073109,3.8230415890537475,0.0,0.0,1.6368885619409848,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,16.79999999999768,61.0,Outdoor,
Outdoor Walk,2024-12-18 14:44,2024-12-18 16:05,01:20:52,137.77413273502523,95.26314548325875,2.8945238931153425,0.0,0.0,2.695741301924456,0.0,0.0,0.0,21.93,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,22.589999999997588,42.0,Outdoor,
